,cas_number,moldb_smiles,klass
Geranyl hexanoate,10032-02-7,CCCCCC(=O)OC\C=C(\C)CCC=C(C)C,Fatty Acyls
Neryl glucoside,22850-13-1,CC(C)=CCC\C(C)=C/COC1OC(CO)C(O)C(O)C1O,Prenol lipids
Neryl arabinofuranosyl-glucoside,84534-32-7,CC(C)=CCC\C(C)=C/COC1OC(COC2OC(CO)C(O)C2O)C(O)C(O)C1O,Prenol lipids
Galactosyl 4-hydroxyproline,79284-73-4,OCC1OC(OC(=O)C2CC(O)CN2)C(O)C(O)C1O,Carboxylic acids and derivatives
4-Hydroxyproline galactoside,80185-44-0,OCC1OC(OC2CNC(C2)C(O)=O)C(O)C(O)C1O,Fatty Acyls
N-Phenylacetylaspartic acid,2752-32-1,OC(=O)CC(NC(=O)CC1=CC=CC=C1)C(O)=O,Carboxylic acids and derivatives
Betavulgaroside I,158511-55-8,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C7OC(O)(C(OCC(O)=O)OC7C6O)C(O)=O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,Prenol lipids
5Z-Octenyl acetate,71978-00-2,CC\C=C/CCCCOC(C)=O,Fatty Acyls
"(R)-1,3-Octanediol",120727-18-6,CCCCCC(O)CCO,
"(R)-1-O-b-D-glucopyranosyl-1,3-octanediol",120727-21-1,CCCCCC(O)CCOC1OC(CO)C(O)C(O)C1O,Fatty Acyls
Salsolinol,525-72-4,CC1NCCC2=C1C=C(O)C(O)=C2,Tetrahydroisoquinolines
(S)-Salsolinol,27740-96-1,CC1NCCC2=C1C=C(O)C(O)=C2,
Moupinamide,66648-43-9,COC1=CC(\C=C\C(=O)NCCC2=CC=C(O)C=C2)=CC=C1O,Cinnamic acids and derivatives
N-Methyltyramine,370-98-9,CNCCC1=CC=C(O)C=C1,Benzene and substituted derivatives
O-Methylcorypalline,16620-96-5,COC1=CC2=C(CN(C)CC2)C=C1OC,Tetrahydroisoquinolines
alpha-Solanigrine,126-17-0,CC1C2C(CC3C4CC=C5CC(O)CCC5(C)C4CCC23C)OC11CCC(C)CN1,
gamma2-Solamarine,11034-34-7,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CN1,Steroids and steroid derivatives
2'-Hydroxydaidzein,7678-85-5,OC1=CC(O)=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,Isoflavonoids
"(E,E)-Trichostachine",25924-78-1,O=C(\C=C\C=C\C1=CC=C2OCOC2=C1)N1CCCC1,Benzodioxoles
L-Tyrosine ethyl ester hydrochloride,4089-07-0,Cl.CCOC(=O)C(N)CC1=CC=C(O)C=C1,
L-Tyrosine,60-18-4,NC(CC1=CC=C(O)C=C1)C(O)=O,Phenylpropanoic acids
Papaverine,61-25-6,COC1=C(OC)C=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1,Isoquinolines and derivatives
Piperine,94-62-2,O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1,
Chavicine,495-91-0,O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1,
Isochavicine,30511-77-4,O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1,
Isopiperine,94-62-2,O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1,
Theophylline,58-55-9,CN1C2=C(NC=N2)C(=O)N(C)C1=O,
Theobromine,83-67-0,CN1C=NC2=C1C(=O)NC(=O)N2C,
Chlorogenoquinone,24321-18-4,OC1CC(O)(CC(OC(=O)\C=C/C2=CC(=O)C(=O)C=C2)C1O)C(O)=O,Alcohols and polyols
L-Saccharopine,997-68-2,NC(CCCCNC(CCC(O)=O)C(O)=O)C(O)=O,Carboxylic acids and derivatives
L-Stachydrine,471-87-4,C[N+]1(C)CCC[C@H]1C([O-])=O,Carboxylic acids and derivatives
Isodesmosine,991-01-5,NC(CCCC1=[N+](CCCCC(N)C([O-])=O)C=C(CCC(N)C(O)=O)C=C1CCC(N)C(O)=O)C(O)=O,Carboxylic acids and derivatives
L-3-Aminodihydro-2(3H)-furanone,1192-20-7,NC1CCOC1=O,Carboxylic acids and derivatives
L-Lysine,56-87-1,NCCCC[C@H](N)C(O)=O,Carboxylic acids and derivatives
L-Lysine hydrochloride,10098-89-2,Cl.NCCCC[C@H](N)C(O)=O,
N6-Acetyl-L-lysine,692-04-6,CC(=O)NCCCCC(N)C(O)=O,Carboxylic acids and derivatives
"1-(3,4-Dimethoxyphenyl)ethanone",1131-62-0,COC1=C(OC)C=C(C=C1)C(C)=O,
gamma-L-Glutamyl-S-(2-carboxy-1-propyl)cysteinylglycine,6710-22-1,CC(CSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(O)=O,Carboxylic acids and derivatives
Homoglutathione,18710-27-5,NC(CC\C(O)=N\C(CS)C(\O)=N\CCC(O)=O)C(O)=O,
N-gamma-L-Glutamyl-L-isoleucine,23632-83-9,CCC(C)C(NC(=O)CCC(N)C(O)=O)C(O)=O,Carboxylic acids and derivatives
N-gamma-L-Glutamyl-L-valine,2746-34-1,CC(C)C(NC(=O)CCC(N)C(O)=O)C(O)=O,Carboxylic acids and derivatives
Glycine,56-40-6,NCC(O)=O,Carboxylic acids and derivatives
Ochratoxin A,303-47-9,C[C@@H]1CC2=C(C(=O)O1)C(O)=C(C=C2Cl)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Carboxylic acids and derivatives
L-2-Amino-3-(oxalylamino)propanoic acid,5302-45-4,NC(CNC(=O)C(O)=O)C(O)=O,Carboxylic acids and derivatives
"(S)-a-Amino-2,5-dihydro-5-oxo-4-isoxazolepropanoic acid N2-glucoside",29790-46-3,NC(CC1=CN(OC1=O)C1OC(CO)C(O)C(O)C1O)C(O)=O,Carbohydrates and carbohydrate conjugates
Neobetanin,71199-29-6,OCC1OC(OC2=C(O)C=C3C(CC(C([O-])=O)\[N+]3=C/C=C3C=C(NC(=C3)C(O)=O)C(O)=O)=C2)C(O)C(O)C1O,Indoles and derivatives
Amaranthin,15167-84-7,OCC1OC(OC2=C(O)C=C3C(CC(C([O-])=O)\[N+]3=C/C=C3\CC(NC(=C3)C(O)=O)C(O)=O)=C2)C(OC2OC(C(O)C(O)C2O)C(O)=O)C(O)C1O,Betalains
Betanidin,2181-76-2,OC(=O)C1C\C(=C/C=[N+]2\C(CC3=CC(O)=C(O)C=C23)C([O-])=O)C=C(N1)C(O)=O,
Betanin,7659-95-2,OCC1OC(OC2=C(O)C=C3C(CC(C([O-])=O)\[N+]3=C/C=C3\CC(NC(=C3)C(O)=O)C(O)=O)=C2)C(O)C(O)C1O,
2-Acetyl-3-ethylpyrazine,32974-92-8,CCC1=NC=CN=C1C(C)=O,Carbonyl compounds
Prebetanin,13798-16-8,OC1C(O)C(COS(O)(=O)=O)OC(OC2=C(O)C=C3C(CC(C([O-])=O)\[N+]3=C/C=C3\CC(NC(=C3)C(O)=O)C(O)=O)=C2)C1O,Betalains
Isobetanidin,2181-76-2,OC(=O)C1C\C(=C/C=[N+]2\C(CC3=CC(O)=C(O)C=C23)C([O-])=O)C=C(N1)C(O)=O,Indoles and derivatives
L-2-Amino-4-(aminooxy)butanoic acid,496-93-5,NOCCC(N)C(O)=O,Carboxylic acids and derivatives
L-Canavanine,543-38-4,NC(CCON=C(N)N)C(O)=O,Carboxylic acids and derivatives
"NG,NG-Dimethyl-L-arginine",30315-93-6,N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O,Carboxylic acids and derivatives
"NG,N'G-Dimethyl-L-arginine",30344-00-4,CN\C(NCCC[C@H](N)C(O)=O)=N/C,Carboxylic acids and derivatives
Cycloalliin,455-41-4,CC1CS(=O)CC(N1)C(O)=O,Carboxylic acids and derivatives
Syringic acid,530-57-4,COC1=CC(=CC(OC)=C1O)C(O)=O,Benzene and substituted derivatives
Thaumatin,53850-34-3,OC(=O)CCCCCCCC\C=C\C=O,
Desmosine,11003-57-9,NC(CCCC[N+]1=CC(CCC(N)C(O)=O)=C(CCCC(N)C(O)=O)C(CCC(N)C(O)=O)=C1)C(O)=O,Carboxylic acids and derivatives
"(3b,4b,5a,24Z)-4-Methylstigmasta-7,24(28)-dien-3-ol",21490-23-3,C\C=C(/CCC(C)C1CCC2C3=CCC4C(C)C(O)CCC4(C)C3CCC12C)C(C)C,
L-Histidine trimethylbetaine,534-30-5,C[N+](C)(C)C(CC1=CN=CN1)C([O-])=O,Carboxylic acids and derivatives
Homoserine,498-19-1,NC(CCO)C(O)=O,
L-Homoserine,672-15-1,NC(CCO)C(O)=O,Carboxylic acids and derivatives
O-Acetylhomoserine,7540-67-2,CC(=O)OCCC(N)C(O)=O,
L-cis-4-(Hydroxymethyl)-2-pyrrolidinecarboxylic acid,2370-39-0,OCC1CNC(C1)C(O)=O,
L-Hypoglycin A,156-56-9,NC(CC1CC1=C)C(O)=O,Carboxylic acids and derivatives
Hypoglycin B,502-37-4,NC(CCC(=O)NC(CC1CC1=C)C(O)=O)C(O)=O,Carboxylic acids and derivatives
S-Methylcysteine sulfoxide,32726-14-0,CS(=O)CC(N)C(O)=O,
L-4-Methylene-2-pyrrolidinecarboxylic acid,20309-87-9,OC(=O)C1CC(=C)CN1,
(±)-4-Methylene-2-pyrrolidinecarboxylic acid,2370-38-9,OC(=O)C1CC(=C)CN1,Carboxylic acids and derivatives
Lysozyme,9001-63-2,[H][C@@]1(CCCCC(O)=N)CCSS1,
Pipecolic acid,535-75-1,OC(=O)C1CCCCN1,Carboxylic acids and derivatives
L-Pipecolic acid,3105-95-1,OC(=O)[C@@H]1CCCCN1,Carboxylic acids and derivatives
Deoxyalliin,52438-09-2,C\C=C/SCC(N)C(O)=O,
Isoalliin,23315-20-0,C\C=C/S(=O)CC(N)C(O)=O,Carboxylic acids and derivatives
S-Propylcysteine sulfoxide,17795-24-3,CCCS(=O)CC(N)C(O)=O,
(R)C(R)S-S-Propylcysteine sulfoxide,17935-27-2,CCCS(=O)CC(N)C(O)=O,
(R)C(S)S-S-Propylcysteine sulfoxide,17935-27-2,CCCS(=O)CC(N)C(O)=O,Carboxylic acids and derivatives
