,cas_number,moldb_smiles,klass
L-Alanine,56-41-7,C[C@H](N)C(O)=O,Carboxylic acids and derivatives
(±)-Alanine,302-72-7,CC(N)C(O)=O,
Alliin,556-27-4,N[C@@H](CS(=O)CC=C)C(O)=O,
2-Amino-4-hydroxy-3-methylpentanoic acid,50764-07-3,CC(O)C(C)C(N)C(O)=O,
alpha-Tocopherol,59-02-9,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,Prenol lipids
L-DOPA,59-92-7,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O,Benzene and substituted derivatives
L-DOPA 3'-glucoside,2275-95-8,NC(CC1=CC(OC2OC(CO)C(O)C(O)C2O)=C(O)C=C1)C(O)=O,Saccharolipids
Aspartame,22839-47-0,COC(=O)C(CC1=CC=CC=C1)N=C(O)C(N)CC(O)=O,Carboxylic acids and derivatives
L-Proline,147-85-3,OC(=O)[C@@H]1CCCN1,Carboxylic acids and derivatives
Carnitine,461-06-3,C[N+](C)(C)CC(O)CC([O-])=O,
L-carnitine,541-15-1,C[N+](C)(C)CC(O)CC([O-])=O,Fatty Acyls
Pyridoxine,65-23-6,CC1=C(O)C(CO)=C(CO)C=N1,Pyridines and derivatives
Pyridoxine hydrochloride,58-56-0,Cl.CC1=C(O)C(CO)=C(CO)C=N1,
Xanthotoxol,2009-24-7,[H]OC1=C2OC(=O)C([H])=C([H])C2=C([H])C2=C1OC([H])=C2[H],Coumarins and derivatives
Eugenitin,480-12-6,COC1=CC2=C(C(=O)C=C(C)O2)C(O)=C1C,Benzopyrans
Dolichin B,78859-49-1,CC(=C)C(O)CC1=C(O)C=CC2=C1OC1C2COC2=C1C=CC(O)=C2,
Dolichin A,78859-49-1,CC(=C)C(O)CC1=C(O)C=CC2=C1OC1C2COC2=C1C=CC(O)=C2,Isoflavonoids
Eupatilin,22368-21-4,COC1=CC=C(C=C1OC)C1=CC(=O)C2=C(O1)C=C(O)C(OC)=C2O,Flavonoids
Isodillapiole,23731-63-7,COC1=C(OC)C(\C=C\C)=CC2=C1OCO2,Benzodioxoles
Isoeugenitin,519-18-6,COC1=C(C)C2=C(C(O)=C1)C(=O)C=C(C)O2,Benzopyrans
Isolimocitrol,1171-97-7,COC1=C(O)C=C(C=C1)C1=C(O)C(=O)C2=C(O1)C(OC)=C(O)C(OC)=C2O,
Isomangiferin,24699-16-9,OCC1OC(C(O)C(O)C1O)C1=C(O)C=C(O)C2=C1OC1=C(C=C(O)C(O)=C1)C2=O,Benzopyrans
Isoorientin 2''-glucoside,55196-48-0,OCC1OC(OC2C(O)C(O)C(CO)OC2C2=C(O)C3=C(OC(=CC3=O)C3=CC=C(O)C(O)=C3)C=C2O)C(O)C(O)C1O,Flavonoids
Isorhamnetin 3-dirhamnoside,480-19-3,[H]N[C@@H](CC(N)=O)C(=O)N[C@@H](C[SeH])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(O)=O,
Isorhamnetin,480-19-3,COC1=C(O)C=CC(=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,Flavonoids
Isorhamnetin 3-galactoside,6743-92-6,COC1=C(O)C=CC(=C1)C1=C(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)C(=O)C2=C(O)C=C(O)C=C2O1,
Isorhamnetin 7-glucoside,6743-96-0,COC1=CC(=CC=C1O)C1=C(O)C(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3O)C=C2O1,Flavonoids
Isorhamnetin 3-sophoroside 7-glucoside,17331-29-2,COC1=CC(=CC=C1O)C1=C(OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3O)C=C2O1,Flavonoids
Isorhamnetin 7-rhamnoside,17331-72-5,COC1=C(O)C=CC(=C1)C1=C(O)C(=O)C2=C(O)C=C(OC3OC(C)C(O)C(O)C3O)C=C2O1,
Isorhamnetin 3-rutinoside,604-80-8,COC1=CC(=CC=C1O)C1=C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)C(=O)C2=C(O)C=C(O)C=C2O1,
Isosakuranetin,480-43-3,COC1=CC=C(C=C1)C1CC(=O)C2=C(O)C=C(O)C=C2O1,
Isosakuranetin 7-glucoside,491-69-0,COC1=CC=C(C=C1)C1CC(=O)C2=C(O1)C=C(OC1OC(CO)C(O)C(O)C1O)C=C2O,
Didymin,14259-47-3,COC1=CC=C(C=C1)C1CC(=O)C2=C(O1)C=C(OC1OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C1O)C=C2O,Flavonoids
Isotheaflavin,31701-93-6,OC1CC2=C(O)C=C(O)C=C2OC1C1=CC(O)=C(O)C2=C1C=C(C=C(O)C2=O)C1OC2=CC(O)=CC(O)=C2CC1O,Flavonoids
Isovitexin,38953-85-4,OCC1OC(C(O)C(O)C1O)C1=C(O)C2=C(OC(=CC2=O)C2=CC=C(O)C=C2)C=C1O,
Isovitexin 2''-glucoside,60767-80-8,OCC1OC(OC2C(O)C(O)C(CO)OC2C2=C(O)C=C3OC(=CC(=O)C3=C2O)C2=CC=C(O)C=C2)C(O)C(O)C1O,
Farnesiferol A,511-33-1,CC1(C)C(O)CCC2(C)C(COC3=CC4=C(C=CC(=O)O4)C=C3)C(=C)CCC12,
Isoferreirin,76656-75-2,COC1=C(C=CC(O)=C1)C1COC2=CC(O)=CC(O)=C2C1=O,Isoflavonoids
Fisetin,528-48-3,OC1=CC2=C(C=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1,
Formononetin 7-(6''-malonylglucoside),34232-16-1,COC1=CC=C(C=C1)C1=COC2=CC(OC3OC(COC(=O)CC(O)=O)C(O)C(O)C3O)=CC=C2C1=O,Isoflavonoids
Trigoforin,14002-93-8,CC1=CC2=C(C=C1)C(C)=C(C)C(=O)O2,Coumarins and derivatives
Kaempferol,520-18-3,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O,Flavonoids
Kaempferol 3-glucuronide,22688-78-4,OC1C(O)C(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)OC(C1O)C(O)=O,Flavonoids
Kaempferol 7-rhamnofuranoside,5041-74-7,CC(O)C1OC(OC2=CC(O)=C3C(OC(=C(O)C3=O)C3=CC=C(O)C=C3)=C2)C(O)C1O,Flavonoids
Kaempferol 3-arabinoside,5041-67-8,OCC1OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C1O,Flavonoids
Cannithrene 2,83016-16-4,COC1=CC2=C(C(O)=C1)C1=C(CC2)C=CC(OC)=C1O,
Mulberrin,62949-79-5,CC(C)=CCC1=C2OC(=C(CC=C(C)C)C(=O)C2=C(O)C=C1O)C1=C(O)C=C(O)C=C1,Flavonoids
Garcinone B,76996-28-6,CC(C)=CCC1=C(O)C=C2OC3=C(C(=O)C2=C1O)C1=C(OC(C)(C)C=C1)C(O)=C3,Benzopyrans
Garcinone C,76996-27-5,CC(C)=CCC1=C(O)C2=C(OC3=CC(O)=C(O)C(CCC(C)(C)O)=C3C2=O)C=C1O,Benzopyrans
Limocitrin,489-33-8,COC1=CC(=CC=C1O)C1=C(O)C(=O)C2=C(O1)C(OC)=C(O)C=C2O,Flavonoids
Limocitrin 3-glucoside,38836-51-0,COC1=C(O)C=CC(=C1)C1=C(OC2OC(CO)C(O)C(O)C2O)C(=O)C2=C(O1)C(OC)=C(O)C=C2O,Flavonoids
Liquiritigenin,578-86-9,OC1=CC=C(C=C1)C1CC(=O)C2=C(O1)C=C(O)C=C2,Flavonoids
Galangin,548-83-4,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC=CC=C2)=C1,Flavonoids
3-Methylgalangin,6665-74-3,COC1=C(OC2=CC(O)=CC(O)=C2C1=O)C1=CC=CC=C1,Flavonoids
Raffinose,512-69-6,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,Carbohydrates and carbohydrate conjugates
Gallic acid,149-91-7,OC(=O)C1=CC(O)=C(O)C(O)=C1,Benzene and substituted derivatives
Methyl gallate,99-24-1,COC(=O)C1=CC(O)=C(O)C(O)=C1,
Sanguiin H6,82978-00-5,OC1=CC(=CC(O)=C1O)C(=O)OC1OC2COC(=O)C3=C(C(O)=C(O)C(O)=C3)C3=C(C(OC4=CC(=CC(O)=C4O)C(=O)OC4OC5COC(=O)C6=C(C(O)=C(O)C(O)=C6)C6=C(C=C(O)C(O)=C6O)C(=O)OC5C5OC(=O)C6=CC(O)=C(O)C(O)=C6C6=C(O)C(O)=C(O)C=C6C(=O)OC45)=C(O)C(O)=C3O)C(=O)OC2C2OC(=O)C3=CC(O)=C(O)C(O)=C3C3=C(O)C(O)=C(O)C=C3C(=O)OC12,Tannins
Gemin D,84744-46-7,OC1OC2COC(=O)C3=CC(O)=C(O)C(O)=C3C3=C(O)C(O)=C(O)C=C3C(=O)OC2C(OC(=O)C2=CC(O)=C(O)C(O)=C2)C1O,
6''-O-Acetylgenistin,73566-30-0,CC(=O)OCC1OC(OC2=CC(O)=C3C(OC=C(C3=O)C3=CC=C(O)C=C3)=C2)C(O)C(O)C1O,Isoflavonoids
6''-Malonylgenistin,51011-05-3,OC1C(O)C(COC(=O)CC(O)=O)OC(OC2=CC3=C(C(O)=C2)C(=O)C(=CO3)C2=CC=C(O)C=C2)C1O,Isoflavonoids
(S)-Naringenin,480-41-1,[H][C@]1(CC(=O)C2=C(O1)C=C(O)C=C2O)C1=CC=C(O)C=C1,Flavonoids
Safflor Yellow A,85532-77-0,OCC1OC2C(OC3=C2C(=O)C(C(=O)\C=C\C2=CC=C(O)C=C2)=C(O)C3(O)C2OC(CO)C(O)C(O)C2O)C(O)C1O,Cinnamic acids and derivatives
Delphinidin 3-[6''-(4'''-p-coumaroylrhamnosyl)glucoside] 5-glucoside,28463-30-1,CC1OC(OCC2OC(OC3=CC4=C(OC5OC(CO)C(O)C(O)C5O)C=C(O)C=C4[O+]=C3C3=CC(O)=C(O)C(O)=C3)C(O)C(O)C2O)C(O)C(OC(=O)\C=C\C2=CC=C(O)C=C2)C1O,
Xenognosin A,76907-79-4,COC1=C(C\C=C\C2=CC=C(O)C=C2)C=CC(O)=C1,"Linear 1,3-diarylpropanoids"
Nobiletin,478-01-3,COC1=CC=C(C=C1OC)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(OC)=C2OC,Flavonoids
(-)-Ligballinol,55332-75-7,OC1=CC=C(C=C1)C1OCC2C1COC2C1=CC=C(O)C=C1,
Eriodictyol 7-glucoside,38965-51-4,OCC1OC(OC2=CC3=C(C(=O)CC(O3)C3=CC=C(O)C(O)=C3)C(O)=C2)C(O)C(O)C1O,Flavonoids
"3'-Hydroxy-4',5,6,7,8-pentamethoxyflavone",112448-39-2,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(OC)=C2OC,Flavonoids
Pebrellin,13509-93-8,COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(O)=C2O,Flavonoids
Diosmetin 7-rutinoside,520-27-4,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O1)C=C(OC1OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C1O)C=C2O,Flavonoids
Eleutheroside B1,16845-16-2,COC1=CC2=C(OC(=O)C=C2)C(OC)=C1OC1OC(CO)C(O)C(O)C1O,
Isofraxidin,486-21-5,COC1=CC2=C(OC(=O)C=C2)C(OC)=C1O,
Amitenone,21682-47-3,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC1=C(O)C(=O)C(CC2=C(O)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(O)C2=O)=C(O)C1=O,Prenol lipids
Glycitein,40957-83-3,COC1=C(O)C=C2OC=C(C(=O)C2=C1)C1=CC=C(O)C=C1,Isoflavonoids
Undecanoic acid,112-37-8,CCCCCCCCCCC(O)=O,Fatty Acyls
Ethyl undecanoate,627-90-7,CCCCCCCCCCC(=O)OCC,Fatty Acyls
Carrotatoxin,21852-80-2,CCCCCCC\C=C\CC#CC#CC(O)C=C,
Glycerol trieicosanoate,620-64-4,[H]C(COC(=O)CCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,Glycerolipids
"Glycerol 1,2-di-(9Z,12Z-octadecadienoate) 3-octadecanoate",2190-17-2,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C\C\C=C\CCCCC)OC(=O)CCCCCCC\C=C\C\C=C\CCCCC,Glycerolipids
Glycerol tribenzoate,614-33-5,O=C(OCC(COC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1)C1=CC=CC=C1,Benzene and substituted derivatives
Dihydroisophorol,116-02-9,CC1CC(O)CC(C)(C)C1,Alcohols and polyols
(R)-Synephrine,94-07-5,CNCO[C@@H](O)C1=CC=C(O)C=C1,Benzene and substituted derivatives
Choline,62-49-7,C[N+](C)(C)CCO,Quaternary ammonium salts
Choline chloride,67-48-1,[Cl-].C[N+](C)(C)CCO,
Pimpinellidine,131-12-4,COC1=C(OC)C2=C(OC(=O)C=C2)C2=C1OC=C2,
N-gamma-L-Glutamyl-L-phenylalanine,6810-81-7,NC(CC\C(O)=N\C(CC1=CC=CC=C1)C(O)=O)C(O)=O,Carboxylic acids and derivatives
N-gamma-L-Glutamyl-L-tyrosine,7432-23-7,NC(CCC(=O)NC(CC1=CC=C(O)C=C1)C(O)=O)C(O)=O,Carboxylic acids and derivatives
"3-Acetyl-2,5-dimethylfuran",10599-70-9,CC(=O)C1=C(C)OC(C)=C1,Carbonyl compounds
Hydroxy-alpha-sanshool,83883-10-7,C\C=C/C=C/C=C\CC\C=C\C(\O)=N\CC(C)(C)O,Alcohols and polyols
N5-Hexanoylspermidine,97141-37-2,CCCCCC(=O)N(CCCN)CCCCN,Fatty Acyls
Diethyl disulfide,110-81-6,CCSSCC,Organic disulfides
Diethyl malonate,105-53-3,CCOC(=O)CC(=O)OCC,Carboxylic acids and derivatives
"(-)-trans-2,5-Diethyltetrahydrofuran",41239-48-9,CCC1CCC(CC)O1,Carbohydrates and carbohydrate conjugates
Diisopropyl disulfide,4253-89-8,CC(C)SSC(C)C,Organic disulfides
3-Methyl-2-butenoic acid,541-47-9,CC(C)=CC(O)=O,Fatty Acyls
"(2E,4E)-2,4-Hexadienoic acid",110-44-1,C\C=C\C=C\C(O)=O,Fatty Acyls
Methyl sorbate,689-89-4,COC(=O)\C=C\C=C\C,Fatty Acyls
Lycopersiconol,20745-29-3,CC(=O)C1C(O)CC2C3CCC4CC(O)CCC4(C)C3CCC12C,Steroids and steroid derivatives
2-Pyrrolidinone,616-45-5,OC1=CCCN1.O=C1CCCN1,Pyrrolidines
Gossypol,303-45-7,CC(C)C1=C2C=C(C)C(=C(O)C2=C(C=O)C(O)=C1O)C1=C(O)C2=C(C=O)C(O)=C(O)C(C(C)C)=C2C=C1C,
Methyl 10-undecenoate,111-81-9,COC(=O)CCCCCCCCC=C,Fatty Acyls
Lansiol,62462-35-5,CC(CC(C)C(C)(C)C(C)=C)C1CCC2(C)C3CCC4C(C)(C)C(O)CCC4(C)C3=CCC12C,Steroids and steroid derivatives
Sodium calcium edetate,62-33-9,[Na+].[Na+].[Ca++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,
Edetate disodium,6381-92-6,O.O.[Na+].[Na+].OC(=O)CN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O,
Edetate trisodium,150-38-9,[Na+].[Na+].[Na+].OC(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,
Edetate sodium,64-02-8,[Na+].[Na+].[Na+].[Na+].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,
Triacetin,102-76-1,CC(=O)OCC(COC(C)=O)OC(C)=O,Glycerolipids
Ethanol,64-17-5,CCO,Alcohols and polyols
Ethylene,74-85-1,C=C,
2-Methylpropane,114438-33-4,CC(C)C,Benzene and substituted derivatives
Glycerol,56-81-5,OCC(O)CO,Carbohydrates and carbohydrate conjugates
Nonane,111-84-2,CCCCCCCCC,
Octane,111-65-9,CCCCCCCC,
Butane,106-97-8,CCCC,Benzene and substituted derivatives
Chloroform,67-66-3,ClC(Cl)Cl,Alkyl halides
Cyclohexane,110-82-7,C1CCCCC1,Alkanes
Dimethyl sulfoxide,67-68-5,CS(C)=O,Sulfoxides
Hexane,110-54-3,CCCCCC,
Pentane,109-66-0,CCCCC,
Lubiminol,55784-92-4,CC1C(O)C(O)CC(CO)C11CCC(C1)C(C)=C,Prenol lipids
Ginkgolide J,107438-79-9,CC1C(=O)OC2CC34C5OC(=O)C3(OC3OC(=O)C(O)C43C(C5O)C(C)(C)C)C12O,Prenol lipids
Lucyoside O,163634-06-8,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1)C(O)=O,
Tiglic acid,80-59-1,C\C=C(\C)C(O)=O,Fatty Acyls
Angelic acid,565-63-9,C\C=C(\C)C(O)=O,Fatty Acyls
5-Methyl-2(3H)-furanone,591-12-8,CC1OC(=O)C=C1,Dihydrofurans
Asparagusic acid,2224-02-4,OC(=O)C1CSSC1,Dithiolanes
Asparagusic acid syn-S-oxide,42258-87-7,OC(=O)[C@@H]1CSS(=O)C1,Dithiolanes
Asparagusic acid anti-S-oxide,42258-86-6,OC(=O)[C@@H]1CSS(=O)C1,
9-Azabicyclo[3.3.1]nonan-3-one,4390-39-0,O=C1CC2CCCC(C1)N2,Piperidines
(S)-2-Azetidinecarboxylic acid,2133-34-8,OC(=O)C1CCN1,Carboxylic acids and derivatives
Diazenedicarboxamide,123-77-3,OC(=N)\N=N\C(O)=N,Azo compounds
L-Asparagine,70-47-3,N[C@@H](CC(N)=O)C(O)=O,Carboxylic acids and derivatives
Macrophorin D,92279-92-0,CC(O)(CC(O)=O)CC(=O)OCC1=CC(=O)C2(CC3C(=C)CCC4C(C)(C)CCCC34C)OC2C1O,Fatty Acyls
Tricetin,520-31-0,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC(O)=C(O)C(O)=C1,Flavonoids
Lucyoside Q,183294-29-3,CC1(C)CC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CCC2(CC1O)C(=O)OC1OC(CO)C(O)C(O)C1O,Prenol lipids
Torvoside C,185012-38-8,CC1C2C(CC3C4CC(OC5OC(C)C(O)C(OC6OC(C)C(O)C(O)C6O)C5O)C5CC(O)CCC5(C)C4CCC23C)OC11OCC(C)CC1O,Steroids and steroid derivatives
Chalconaringenin,5071-40-9,OC1=CC=C(\C=C\C(=O)C2=C(O)C=C(O)C=C2O)C=C1,"Linear 1,3-diarylpropanoids"
Oleyl alcohol,143-28-2,CCCCCCCC\C=C\CCCCCCCCO,Fatty Acyls
Phenylmethanethiol,100-53-8,SCC1=CC=CC=C1,Benzene and substituted derivatives
2-Methylbenzenethiol,137-06-4,CC1=C(S)C=CC=C1,Benzene and substituted derivatives
2-Methylbenzaldehyde,529-20-4,CC1=CC=CC=C1C=O,Benzene and substituted derivatives
3-Methylbenzaldehyde,620-23-5,CC1=CC(C=O)=CC=C1,
4-Methylbenzaldehyde,104-87-0,CC1=CC=C(C=O)C=C1,Benzene and substituted derivatives
(4-Methylphenyl)acetaldehyde,104-09-6,CC1=CC=C(CC=O)C=C1,Benzene and substituted derivatives
3-(4-Methylphenyl)-2-propenal,1504-75-2,CC1=CC=C(\C=C\C=O)C=C1,Cinnamaldehydes
"1,8,8-Trimethyl-2-oxabicyclo[3.2.1]octan-3-one",1126-91-6,CC1(C)C2CCC1(C)OC(=O)C2,
"p-Mentha-1,3,5,8-tetraene",1195-32-0,CC(=C)C1=CC=C(C)C=C1,Benzene and substituted derivatives
Xanthoxylin,90-24-4,COC1=CC(O)=C(C(C)=O)C(OC)=C1,Benzene and substituted derivatives
"2',6'-Dihydroxy-4'-methoxyacetophenone",7507-89-3,COC1=CC(O)=C(C(C)=O)C(O)=C1,Benzene and substituted derivatives
"2,4,5-Trimethoxybenzaldehyde",4460-86-0,COC1=CC(OC)=C(OC)C=C1C=O,Benzene and substituted derivatives
Gallaldehyde,13677-79-7,OC1=CC(C=O)=CC(O)=C1O,
"3,5-Dihydroxy-4-methoxybenzaldehyde",29865-85-8,COC1=C(O)C=C(C=O)C=C1O,
"4-Hydroxy-3,5-dimethoxybenzaldehyde",134-96-3,COC1=CC(C=O)=CC(OC)=C1O,
"2,4,6-Trihydroxybenzoic acid",83-30-7,OC(=O)C1=C(O)C=C(O)C=C1O,Benzene and substituted derivatives
2-(4-Methylphenyl)-2-propanol,1197-01-9,CC1=CC=C(C=C1)C(C)(C)O,Benzene and substituted derivatives
"3,6-Epoxy-5,5',6,6'-tetrahydro-b,b-carotene-3',5,5',6'-tetrol",181046-82-2,C\C(\C=C\C=C(/C)\C=C\C12OC(CC1(C)C)CC2(C)O)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1(O)C(C)(C)CC(O)CC1(C)O,Prenol lipids
Erinacine G,182927-59-9,CC(C)C(=O)CCC1(C)CCC2(C)C3OC4OCC5(O)C(O)C(=CCC2C1=O)C3C4(O)C5O,Furopyrans
Erinacine E,178120-47-3,CC(C)C1=C2C3CC=C4C5C(OC6OCC(O)(C4O)C(O)C56O)C3(C)CCC2(C)CC1,
"2,4'-Dihydroxyacetophenone",5706-85-4,OCC(=O)C1=CC=C(O)C=C1,Benzene and substituted derivatives
"2',3'-Dihydroxyacetophenone",13494-10-5,CC(=O)C1=C(O)C(O)=CC=C1,Benzene and substituted derivatives
"2',4'-Dihydroxyacetophenone",89-84-9,CC(=O)C1=C(O)C=C(O)C=C1,Benzene and substituted derivatives
"2',6'-Dihydroxyacetophenone",699-83-2,CC(=O)C1=C(O)C=CC=C1O,Benzene and substituted derivatives
Zierin,645-02-3,OCC1OC(OC(C#N)C2=CC(O)=CC=C2)C(O)C(O)C1O,
Vanillin,121-33-5,COC1=CC(C=O)=CC=C1O,Benzene and substituted derivatives
Vanillin acetate,881-68-5,COC1=C(OC(C)=O)C=CC(C=O)=C1,Benzene and substituted derivatives
Vanilloside,494-08-6,COC1=C(OC2OC(CO)C(O)C(O)C2O)C=CC(C=O)=C1,Carbohydrates and carbohydrate conjugates
Ethyl vanillin,121-32-4,CCOC1=C(O)C=CC(C=O)=C1,Benzene and substituted derivatives
"2,4-Dihydroxybenzoic acid",89-86-1,OC(=O)C1=C(O)C=C(O)C=C1,Benzene and substituted derivatives
2-Hydroxy-4-methoxybenzoic acid,2237-36-7,COC1=CC(O)=C(C=C1)C(O)=O,
Gentisic acid,490-79-9,OC(=O)C1=C(O)C=CC(O)=C1,Benzene and substituted derivatives
"2,6-Dihydroxybenzoic acid",303-07-1,OC(=O)C1=C(O)C=CC=C1O,
Vanillic acid,121-34-6,COC1=C(O)C=CC(=C1)C(O)=O,Benzene and substituted derivatives
"3,5-Dihydroxybenzoic acid",99-10-5,OC(=O)C1=CC(O)=CC(O)=C1,Benzene and substituted derivatives
Phloretic acid,501-97-3,OC(=O)CCC1=CC=C(O)C=C1,Phenylpropanoic acids
"2,3,6-Trimethylphenol",2416-94-6,CC1=C(C)C(O)=C(C)C=C1,Benzene and substituted derivatives
"1,4-Dimethoxybenzene",150-78-7,COC1=CC=C(OC)C=C1,Benzene and substituted derivatives
2-Methoxy-4-vinylphenol,7786-61-0,COC1=CC(C=C)=CC=C1O,Benzene and substituted derivatives
"2,6-Dimethoxy-1,4-benzoquinone",530-55-2,COC1=CC(=O)C=C(OC)C1=O,Carbonyl compounds
"2,6-Di-tert-butyl-1,4-benzoquinone",719-22-2,CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C,Prenol lipids
Diosmetin,520-34-3,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,Flavonoids
"2,6-Dimethoxy-4-methylphenol",6638-05-7,COC1=CC(C)=CC(OC)=C1O,Benzene and substituted derivatives
(+)-Asarinin,133-03-9,C1OC2=C(O1)C=C(C=C2)C1OCC2C1COC2C1=CC2=C(OCO2)C=C1,
2-Hydroxy-6-pentadecylbenzoic acid,16611-84-0,CCCCCCCCCCCCCCCC1=CC=CC(O)=C1C(O)=O,Benzene and substituted derivatives
4-Methoxybenzaldehyde,123-11-5,COC1=CC=C(C=O)C=C1,Benzene and substituted derivatives
2-Ethoxynaphthalene,93-18-5,CCOC1=CC2=C(C=CC=C2)C=C1,Naphthalenes
2-Naphthalenethiol,91-60-1,SC1=CC2=C(C=CC=C2)C=C1,Naphthalenes
Octacosanal,22725-64-0,CCCCCCCCCCCCCCCCCCCCCCCCCCCC=O,Fatty Acyls
2-Naphthol,135-19-3,OC1=CC2=CC=CC=C2C=C1,Naphthalenes
Wine lactone,182699-77-0,CC1C2CCC(C)=CC2OC1=O,
Sodium lactate,72-17-3,[Na+].CC(O)C([O-])=O,
S-Methyl benzenecarbothioate,5925-68-8,CSC(=O)C1=CC=CC=C1,Benzene and substituted derivatives
Hexacosanal,26627-85-0,CCCCCCCCCCCCCCCCCCCCCCCCCC=O,Fatty Acyls
Hydroquinone,123-31-9,OC1=CC=C(O)C=C1,Benzene and substituted derivatives
Mequinol,150-76-5,COC1=CC=C(O)C=C1,Benzene and substituted derivatives
Cinnamyl alcohol,104-54-1,OCC=CC1=CC=CC=C1,Cinnamyl alcohols
trans-Cinnamyl alcohol,4407-36-7,OC\C=C\C1=CC=CC=C1,Cinnamyl alcohols
Cinnamyl acetate,21040-45-9,CC(=O)OC\C=C/C1=CC=CC=C1,Benzene and substituted derivatives
Erythrosine,15905-32-5,OC1=C(I)C2=C(C=C1I)C1(OC(=O)C3=C1C=CC=C3)C1=CC(I)=C(O)C(I)=C1O2,Benzopyrans
Phenol,108-95-2,OC1=CC=CC=C1,Benzene and substituted derivatives
Acetylsalicylic acid,50-78-2,CC(=O)OC1=CC=CC=C1C(O)=O,Benzene and substituted derivatives
Anthranilic acid,118-92-3,NC1=CC=CC=C1C(O)=O,Benzene and substituted derivatives
Methyl anthranilate,134-20-3,COC(=O)C1=CC=CC=C1N,Benzene and substituted derivatives
"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1,6-heptadien-3-one",79-78-7,CC1=CCCC(C)(C)C1\C=C\C(=O)CCC=C,Prenol lipids
(±)-Leucine,328-39-2,CC(C)CC(N)C(O)=O,
"2-Amino-3-methylimidazo[4,5-f]quinoline",76180-96-6,CN1C(N)=NC2=C1C=CC1=NC=CC=C21,Quinolines and derivatives
"2-Amino-3,4-dimethylimidazo[4,5-f]quinoline",77094-11-2,CN1C(N)=NC2=C1C(C)=CC1=C2C=CC=N1,Quinolines and derivatives
"(R)-2,4-Dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-glucoside",113565-32-5,COC1=CC2=C(C=C1)N(O)C(=O)C(OC1OC(CO)C(O)C(O)C1O)O2,Benzoxazines
Thiabendazole,148-79-8,N1C2=C(C=CC=C2)N=C1C1=CN=CS1,Benzimidazoles
Thiazole,288-47-1,S1C=CN=C1,Azoles
"4,5-Dihydro-1-benzoxepin-3(2H)-one",35783-10-9,O=C1CCC2=CC=CC=C2OC1,Benzoxepines
